Flightplan |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Surface Operations |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Surface Operations |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
Lunar Surface Operations |   F 06 89 LAT, LONG/2, ALT ->   F 06 89 LAT, LONG/2, ALT - Display Decimal - R1=Latitude, R2=Longitude/2, R3=Altitude (.001° .001° .01nm)
Lunar Surface Operations |   F 37 ->   F 37 - Change Program
